Source Name	Material Type	Characteristics [BioSourceType]	Characteristics [CellLine]	Characteristics [CellType]	Characteristics [DevelopmentalStage]	Characteristics [DiseaseStage]	Characteristics [DiseaseState]	Characteristics [OrganismPart]	Characteristics [Organism]	Characteristics [Sex]	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Comment[Normalization Type]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [CELLLINE]	Factor Value [CELLTYPE]	Factor Value [DEVELOPMENTALSTAGE]	Factor Value [DISEASESTAGE]	Factor Value [DISEASESTATE]	Factor Value [ORGANISMPART]
507609074.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1017 biotin	synthetic_DNA	biotin	Hyb_1017	A-AFFY-33	507609074.cel	507609074.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.42.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609103.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1018 biotin	synthetic_DNA	biotin	Hyb_1018	A-AFFY-33	507609103.cel	507609103.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.42.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609132.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1019 biotin	synthetic_DNA	biotin	Hyb_1019	A-AFFY-33	507609132.cel	507609132.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.42.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609159.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1020 biotin	synthetic_DNA	biotin	Hyb_1020	A-AFFY-33	507609159.cel	507609159.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.42.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609190.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1021 biotin	synthetic_DNA	biotin	Hyb_1021	A-AFFY-33	507609190.cel	507609190.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.42.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609217.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1022 biotin	synthetic_DNA	biotin	Hyb_1022	A-AFFY-33	507609217.cel	507609217.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609243.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1023 biotin	synthetic_DNA	biotin	Hyb_1023	A-AFFY-33	507609243.cel	507609243.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609270.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1024 biotin	synthetic_DNA	biotin	Hyb_1024	A-AFFY-33	507609270.cel	507609270.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609298.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1025 biotin	synthetic_DNA	biotin	Hyb_1025	A-AFFY-33	507609298.cel	507609298.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609327.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1026 biotin	synthetic_DNA	biotin	Hyb_1026	A-AFFY-33	507609327.cel	507609327.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609358.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1027 biotin	synthetic_DNA	biotin	Hyb_1027	A-AFFY-33	507609358.cel	507609358.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609385.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1028 biotin	synthetic_DNA	biotin	Hyb_1028	A-AFFY-33	507609385.cel	507609385.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609411.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1029 biotin	synthetic_DNA	biotin	Hyb_1029	A-AFFY-33	507609411.cel	507609411.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609439.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1030 biotin	synthetic_DNA	biotin	Hyb_1030	A-AFFY-33	507609439.cel	507609439.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609468.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1031 biotin	synthetic_DNA	biotin	Hyb_1031	A-AFFY-33	507609468.cel	507609468.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609497.cel	organism_part	frozen_sample	  	  	  	  	  	human universal reference	Homo sapiens	  	Labeled1032 biotin	synthetic_DNA	biotin	Hyb_1032	A-AFFY-33	507609497.cel	507609497.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	human universal reference
507609526.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1033 biotin	synthetic_DNA	biotin	Hyb_1033	A-AFFY-33	507609526.cel	507609526.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609555.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1034 biotin	synthetic_DNA	biotin	Hyb_1034	A-AFFY-33	507609555.cel	507609555.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609590.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1035 biotin	synthetic_DNA	biotin	Hyb_1035	A-AFFY-33	507609590.cel	507609590.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609621.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1036 biotin	synthetic_DNA	biotin	Hyb_1036	A-AFFY-33	507609621.cel	507609621.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
507609647.cel	organism_part	frozen_sample	  	  	  	  	  	brain	Homo sapiens	female	Labeled1037 biotin	synthetic_DNA	biotin	Hyb_1037	A-AFFY-33	507609647.cel	507609647.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	  	brain
508764989.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1038 biotin	synthetic_DNA	biotin	Hyb_1038	A-AFFY-33	508764989.cel	508764989.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765076.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1039 biotin	synthetic_DNA	biotin	Hyb_1039	A-AFFY-33	508765076.cel	508765076.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765137.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1040 biotin	synthetic_DNA	biotin	Hyb_1040	A-AFFY-33	508765137.cel	508765137.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765213.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1041 biotin	synthetic_DNA	biotin	Hyb_1041	A-AFFY-33	508765213.cel	508765213.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765269.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1042 biotin	synthetic_DNA	biotin	Hyb_1042	A-AFFY-33	508765269.cel	508765269.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765288.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1043 biotin	synthetic_DNA	biotin	Hyb_1043	A-AFFY-33	508765288.cel	508765288.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765307.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1044 biotin	synthetic_DNA	biotin	Hyb_1044	A-AFFY-33	508765307.cel	508765307.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
508765326.cel	organism_part	fresh_sample	  	mesangial cells	  	  	  	  	Homo sapiens	  	Labeled1045 biotin	synthetic_DNA	biotin	Hyb_1045	A-AFFY-33	508765326.cel	508765326.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	mesangial cells	  	    	    	        
518987702.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1046 biotin	synthetic_DNA	biotin	Hyb_1046	A-AFFY-33	518987702.cel	518987702.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987718.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1047 biotin	synthetic_DNA	biotin	Hyb_1047	A-AFFY-33	518987718.cel	518987718.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987776.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1048 biotin	synthetic_DNA	biotin	Hyb_1048	A-AFFY-33	518987776.cel	518987776.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518987804.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1049 biotin	synthetic_DNA	biotin	Hyb_1049	A-AFFY-33	518987804.cel	518987804.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987862.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1050 biotin	synthetic_DNA	biotin	Hyb_1050	A-AFFY-33	518987862.cel	518987862.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987878.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1051 biotin	synthetic_DNA	biotin	Hyb_1051	A-AFFY-33	518987878.cel	518987878.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518987894.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1052 biotin	synthetic_DNA	biotin	Hyb_1052	A-AFFY-33	518987894.cel	518987894.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987937.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1053 biotin	synthetic_DNA	biotin	Hyb_1053	A-AFFY-33	518987937.cel	518987937.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987952.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1054 biotin	synthetic_DNA	biotin	Hyb_1054	A-AFFY-33	518987952.cel	518987952.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518987983.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1055 biotin	synthetic_DNA	biotin	Hyb_1055	A-AFFY-33	518987983.cel	518987983.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518988000.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1056 biotin	synthetic_DNA	biotin	Hyb_1056	A-AFFY-33	518988000.cel	518988000.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518988014.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1057 biotin	synthetic_DNA	biotin	Hyb_1057	A-AFFY-33	518988014.cel	518988014.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518988057.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1058 biotin	synthetic_DNA	biotin	Hyb_1058	A-AFFY-33	518988057.cel	518988057.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518988072.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1059 biotin	synthetic_DNA	biotin	Hyb_1059	A-AFFY-33	518988072.cel	518988072.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518988102.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1060 biotin	synthetic_DNA	biotin	Hyb_1060	A-AFFY-33	518988102.cel	518988102.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518988132.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1061 biotin	synthetic_DNA	biotin	Hyb_1061	A-AFFY-33	518988132.cel	518988132.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518988146.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1062 biotin	synthetic_DNA	biotin	Hyb_1062	A-AFFY-33	518988146.cel	518988146.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
518988160.cel	organism_part	  	  	  	  	  	normal	prostate	Homo sapiens	  	Labeled1063 biotin	synthetic_DNA	biotin	Hyb_1063	A-AFFY-33	518988160.cel	518988160.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	prostate
518988175.cel	organism_part	  	  	  	  	  	prostate cancer	prostate	Homo sapiens	  	Labeled1064 biotin	synthetic_DNA	biotin	Hyb_1064	A-AFFY-33	518988175.cel	518988175.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.43.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	prostate cancer	prostate
